Dep髎ito;Partida;Secuencia;Desde;Lote;Vencimiento;Producto;Medida;Secuencia modif;Partida completa;Linea;Categoria
PREP;0D737;46;21/10/2025;0012929084;17/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 22 MM;0046;0D7370046;CORONARIO;STENT CORONARIO
PREP;0A108;40;12/08/2025;0012402749;16/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 26 MM;0040;0A1080040;CORONARIO;STENT CORONARIO
PREP;0A104;8;12/08/2025;0012370399;23/07/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 30 MM;0008;0A1040008;CORONARIO;STENT CORONARIO
PREP;0B248;25;12/08/2025;0012614726;08/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 22 MM;0025;0B2480025;CORONARIO;STENT CORONARIO
PREP;98316;16;12/08/2025;0012407025;20/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 26 MM;0016;983160016;CORONARIO;STENT CORONARIO
PREP;0B236;40;12/08/2025;0012661359;08/02/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 18 MM;0040;0B2360040;CORONARIO;STENT CORONARIO
PREP;0A371;34;12/08/2025;0012560099;26/11/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 22 MM;0034;0A3710034;CORONARIO;STENT CORONARIO
PREP;0B104;43;12/08/2025;0012617229;09/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 26 MM;0043;0B1040043;CORONARIO;STENT CORONARIO
PREP;96696;16;12/08/2025;0012407027;20/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 15 MM;0016;966960016;CORONARIO;STENT CORONARIO
PREP;0B023;23;12/08/2025;0012823139;18/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 18 MM;0023;0B0230023;CORONARIO;STENT CORONARIO
PREP;99358;39;12/08/2025;0012399749;14/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 26 MM;0039;993580039;CORONARIO;STENT CORONARIO
